solved;AADPOR_EXPL.ConcurrencySafety;AADPOR_PRED.ConcurrencySafety;AASPOR_EXPL.ConcurrencySafety;AASPOR_PRED.ConcurrencySafety;DPOR_EXPL.ConcurrencySafety;DPOR_PRED.ConcurrencySafety;SPOR_EXPL.ConcurrencySafety;SPOR_PRED.ConcurrencySafety
273;124,11;66,98;21,94;31,50;108,28;55,57;23,99;36,27
274;151,29;69,21;22,60;31,77;122,40;56,78;24,06;36,55
275;173,26;69,72;22,70;32,25;135,95;56,86;24,40;37,11
276;180,07;71,64;22,72;34,82;155,14;58,43;24,40;40,39
277;186,91;72,09;22,76;35,10;160,17;60,91;24,70;41,46
278;189,21;73,79;22,86;36,43;163,68;65,83;24,80;41,58
279;195,82;77,24;23,01;38,65;171,67;65,88;24,84;41,82
280;196,57;86,02;23,46;39,87;171,78;68,75;24,92;42,68
281;198,12;86,18;23,49;40,28;209,47;71,04;25,01;43,42
282;203,62;89,51;23,54;40,66;210,54;74,36;25,06;43,61
283;207,57;89,63;23,55;42,09;218,23;75,39;25,23;43,65
284;210,71;90,65;23,69;43,79;234,82;90,60;25,45;44,68
285;217,04;91,19;23,76;44,22;252,19;91,38;25,58;44,89
286;221,73;92,16;23,92;44,68;252,54;91,62;25,79;46,30
287;255,19;107,62;24,09;44,77;284,31;92,38;26,41;48,66
288;258,51;108,79;24,11;46,97;376,36;92,75;26,66;49,34
289;263,81;116,56;24,20;49,86;377,31;93,76;26,98;52,53
290;298,80;124,55;24,93;50,26;403,90;94,56;27,00;53,35
291;330,24;127,40;24,97;50,74;444,28;95,82;27,07;54,36
292;337,40;133,37;25,14;50,96;445,54;99,29;27,24;55,86
293;360,16;133,96;25,15;51,76;464,72;99,36;27,68;56,84
294;402,23;134,91;25,19;57,44;475,55;100,83;27,79;58,74
295;421,15;136,84;25,25;57,95;492,03;101,77;28,24;63,54
296;470,35;139,04;25,47;60,51;516,63;103,89;28,27;64,10
297;482,91;143,35;25,54;60,98;582,91;111,88;28,40;64,58
298;556,47;145,48;25,72;65,70;606,64;117,87;28,40;64,82
299;585,46;146,35;25,93;65,82;645,38;121,31;28,47;66,33
300;601,29;147,86;25,97;68,90;681,80;127,84;28,68;66,67
301;620,97;148,73;26,46;69,93;687,35;128,13;28,73;66,71
302;624,59;150,47;26,55;70,49;717,53;129,43;28,74;68,01
303;637,98;151,51;26,57;71,64;790,42;134,59;28,94;68,35
304;641,05;153,52;27,35;72,48;810,22;137,27;29,00;70,71
305;658,69;166,00;27,64;74,61;832,46;142,51;29,19;74,90
306;702,78;172,13;27,98;75,03;;143,31;29,49;76,18
307;716,20;184,88;28,20;77,22;;146,45;29,63;76,71
308;717,30;188,06;28,21;78,19;;153,30;29,72;76,78
309;722,23;190,90;28,24;81,68;;157,96;29,82;77,95
310;729,67;191,90;28,26;82,62;;159,39;30,85;78,11
311;744,05;193,34;28,36;85,34;;180,87;31,07;79,85
312;745,34;193,62;29,19;85,50;;187,01;31,38;81,10
313;811,97;196,12;29,23;86,80;;192,93;31,92;82,22
314;826,03;222,85;29,25;88,36;;207,49;32,00;82,33
